ENCSR000FEK	ENCFF156QMX	ENCFF224FXN
ENCSR000FEK	ENCFF844BZM	ENCFF810XTS
ENCSR316UDN	ENCFF588LDO	ENCFF468PTJ
ENCSR000EPF	ENCFF381SPW	ENCFF571HTM
ENCSR000EPF	ENCFF315GZT	ENCFF807MNB
ENCSR441MMO	ENCFF651UEB	ENCFF631ZXV
ENCSR456KDF	ENCFF399YBZ	ENCFF549BSX
ENCSR000EOM	ENCFF393ZCH	ENCFF656ZYW
ENCSR000EOM	ENCFF217AES	ENCFF416UWK
ENCSR818JGZ	ENCFF505QJX	ENCFF540ITV
ENCSR818JGZ	ENCFF330ODA	ENCFF215NAM
ENCSR000EPJ	ENCFF639CRX	ENCFF411ZPI
ENCSR000EPJ	ENCFF322PZC	ENCFF921ADM
ENCSR606UAR	ENCFF353BGJ	ENCFF010FIA
ENCSR184DFF	ENCFF339EUH	ENCFF401OYD
ENCSR960EJV	ENCFF166WYW	ENCFF609SYX
ENCSR656QYL	ENCFF862VPD	ENCFF161UUJ
ENCSR414ZUA	ENCFF004DBD	ENCFF645BQM
ENCSR585CGU	ENCFF695PEK	ENCFF596JMX
ENCSR268QCH	ENCFF200KPY	ENCFF973VII
